,FullName,University,SubField,Bachelors,Doctorate,GoogleScholar,Drafty
0,Adam Doupé,Arizona State University,ecom,Arizona State University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Adam+Doupé&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Adam%20Doupé&searchCol=0&searchVal=Adam%20Doupé
1,"Ruoyu Fish"" Wang""",Arizona State University,sec,Arizona State University,"University of California, Santa Barbara","https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ruoyu+Fish""+Wang""&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40","https://drafty.cs.brown.edu/csprofessors?src=csor_Ruoyu%20Fish""%20Wang""&searchCol=0&searchVal=Ruoyu%20Fish""%20Wang"""
2,Yan Shoshitaishvili,Arizona State University,sec,Rensselaer Polytechnic Institute,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Yan+Shoshitaishvili&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Yan%20Shoshitaishvili&searchCol=0&searchVal=Yan%20Shoshitaishvili
3,Gianluca Stringhini,Boston University,sec,University of Genoa,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Gianluca+Stringhini&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Gianluca%20Stringhini&searchCol=0&searchVal=Gianluca%20Stringhini
4,Priya Narasimhan,Carnegie Mellon University,bed,S.J.M.V: B.A.J.S.S Arts & Commerce College For Women,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Priya+Narasimhan&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Priya%20Narasimhan&searchCol=0&searchVal=Priya%20Narasimhan
5,Xia Zhou,Dartmouth College,comm,Wuhan University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Xia+Zhou&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Xia%20Zhou&searchCol=0&searchVal=Xia%20Zhou
6,D. Martin Swany,Indiana University Bloomington,hpc,University of Tennessee,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=D.+Martin+Swany&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_D.%20Martin%20Swany&searchCol=0&searchVal=D.%20Martin%20Swany
7,Ted Huffmire,Naval Postgraduate School,sec,Princeton University,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Ted+Huffmire&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Ted%20Huffmire&searchCol=0&searchVal=Ted%20Huffmire
8,Alexandros Kapravelos,North Carolina State University,sec,University of Crete,"University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Alexandros+Kapravelos&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Alexandros%20Kapravelos&searchCol=0&searchVal=Alexandros%20Kapravelos
9,Christo Wilson,Northeastern University,act,"University of California, Santa Barbara","University of California, Santa Barbara",https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=Christo+Wilson&as_publication=&as_ylo=&as_yhi=&hl=en&as_sdt=0%2C40,https://drafty.cs.brown.edu/csprofessors?src=csor_Christo%20Wilson&searchCol=0&searchVal=Christo%20Wilson
